PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2016,28,b,85,+,15075,O,O
USA,1,2016,28,b,TOT,.,49730,O,O
USA,1,2016,29,b,0,25,1334,O,O
USA,1,2016,29,b,25,20,2687,O,O
USA,1,2016,29,b,45,20,9989,O,O
USA,1,2016,29,b,65,10,9197,O,O
USA,1,2016,29,b,75,10,11373,O,O
USA,1,2016,29,b,85,+,14794,O,O
USA,1,2016,29,b,TOT,.,49374,O,O
USA,1,2016,30,b,0,25,1311,O,O
USA,1,2016,30,b,25,20,2574,O,O
USA,1,2016,30,b,45,20,10143,O,O
USA,1,2016,30,b,65,10,9486,O,O
USA,1,2016,30,b,75,10,11433,O,O
USA,1,2016,30,b,85,+,14862,O,O
USA,1,2016,30,b,TOT,.,49809,O,O
USA,1,2016,31,b,0,25,1265,O,O
USA,1,2016,31,b,25,20,2747,O,O
USA,1,2016,31,b,45,20,10099,O,O
USA,1,2016,31,b,65,10,9471,O,O
USA,1,2016,31,b,75,10,11295,O,O
USA,1,2016,31,b,85,+,14771,O,O
USA,1,2016,31,b,TOT,.,49648,O,O
USA,1,2016,32,b,0,25,1318,O,O
USA,1,2016,32,b,25,20,2672,O,O
USA,1,2016,32,b,45,20,10101,O,O
USA,1,2016,32,b,65,10,9386,O,O
USA,1,2016,32,b,75,10,11508,O,O
USA,1,2016,32,b,85,+,14844,O,O
USA,1,2016,32,b,TOT,.,49829,O,O
USA,1,2016,33,b,0,25,1277,O,O
